"Date","HomeTeam","AwayTeam","FTHG","HTAG","FTR"
2018-04-14,"Ath Bilbao","La Coruna",2,2,"A"
2018-04-14,"Barcelona","Valencia",2,0,"H"
2018-04-14,"Las Palmas","Sociedad",0,1,"A"
2018-04-14,"Leganes","Celta",1,0,"H"
2018-04-14,"Sevilla","Villarreal",2,1,"D"
2018-04-15,"Ath Madrid","Levante",3,0,"H"
2018-04-15,"Eibar","Alaves",0,1,"A"
2018-04-15,"Getafe","Espanol",1,0,"H"
2018-04-15,"Malaga","Real Madrid",1,1,"A"
2018-04-17,"Celta","Barcelona",2,1,"D"
2018-04-17,"La Coruna","Sevilla",0,0,"D"
2018-04-17,"Villarreal","Leganes",2,0,"H"
2018-04-18,"Espanol","Eibar",0,1,"A"
2018-04-18,"Real Madrid","Ath Bilbao",1,1,"D"
2018-04-18,"Valencia","Getafe",1,1,"A"
2018-04-19,"Alaves","Girona",1,0,"A"
2018-04-19,"Betis","Las Palmas",1,0,"H"
2018-04-19,"Levante","Malaga",1,0,"H"
2018-04-19,"Sociedad","Ath Madrid",3,0,"H"
2018-04-20,"Leganes","La Coruna",0,0,"D"
2018-04-21,"Celta","Valencia",1,0,"D"
2018-04-21,"Eibar","Getafe",0,1,"A"
2018-04-22,"Ath Madrid","Betis",0,0,"D"
2018-04-22,"Girona","Espanol",0,1,"A"
2018-04-22,"Las Palmas","Alaves",0,0,"A"
2018-04-22,"Malaga","Sociedad",2,0,"H"
2018-04-23,"Ath Bilbao","Levante",1,2,"A"
2018-04-27,"Levante","Sevilla",2,1,"H"
2018-04-28,"Espanol","Las Palmas",1,1,"D"
2018-04-28,"Real Madrid","Leganes",2,0,"H"
2018-04-28,"Sociedad","Ath Bilbao",3,0,"H"
2018-04-28,"Villarreal","Celta",4,1,"H"
2018-04-29,"Alaves","Ath Madrid",0,0,"A"
2018-04-29,"Getafe","Girona",1,1,"D"
2018-04-29,"La Coruna","Barcelona",2,2,"A"
2018-04-29,"Valencia","Eibar",0,0,"D"
2018-04-30,"Betis","Malaga",2,1,"H"
2018-05-04,"Sevilla","Sociedad",1,0,"H"
2018-05-05,"Ath Bilbao","Betis",2,0,"H"
2018-05-05,"Celta","La Coruna",1,0,"D"
2018-05-05,"Girona","Eibar",1,2,"A"
2018-05-05,"Villarreal","Valencia",1,0,"H"
2018-05-06,"Ath Madrid","Espanol",0,0,"A"
2018-05-06,"Barcelona","Real Madrid",2,1,"D"
2018-05-06,"Las Palmas","Getafe",0,0,"A"
2018-05-06,"Malaga","Alaves",0,1,"A"
2018-05-07,"Leganes","Levante",0,0,"A"
2018-05-09,"Barcelona","Villarreal",5,0,"H"
2018-05-09,"Sevilla","Real Madrid",3,0,"H"
2018-05-12,"Alaves","Ath Bilbao",3,0,"H"
2018-05-12,"Betis","Sevilla",2,0,"D"
2018-05-12,"Eibar","Las Palmas",1,0,"H"
2018-05-12,"Getafe","Ath Madrid",0,1,"A"
2018-05-12,"Girona","Valencia",0,0,"A"
2018-05-12,"La Coruna","Villarreal",2,3,"A"
2018-05-12,"Real Madrid","Celta",6,0,"H"
2018-05-12,"Sociedad","Leganes",3,1,"H"
2018-05-13,"Espanol","Malaga",4,1,"H"
2018-05-13,"Levante","Barcelona",5,1,"H"
2018-05-19,"Celta","Levante",4,1,"H"
2018-05-19,"Las Palmas","Girona",1,2,"A"
2018-05-19,"Leganes","Betis",3,1,"H"
2018-05-19,"Malaga","Getafe",0,0,"A"
2018-05-19,"Sevilla","Alaves",1,0,"H"
2018-05-19,"Villarreal","Real Madrid",2,2,"D"
2018-05-20,"Ath Bilbao","Espanol",0,1,"A"
2018-05-20,"Ath Madrid","Eibar",2,1,"D"
2018-05-20,"Barcelona","Sociedad",1,0,"H"
2018-05-20,"Valencia","La Coruna",2,0,"H"
2020-08-17,"Betis","Levante",0,1,"A"
2020-08-17,"Girona","Valladolid",0,0,"D"
2020-08-18,"Barcelona","Alaves",3,0,"H"
2020-08-18,"Celta","Espanol",1,1,"D"
2020-08-18,"Villarreal","Sociedad",1,1,"A"
2020-08-19,"Eibar","Huesca",1,2,"A"
2020-08-19,"Real Madrid","Getafe",2,0,"H"
2020-08-19,"Vallecano","Sevilla",1,3,"A"
2020-08-20,"Ath Bilbao","Leganes",2,1,"H"
2020-08-20,"Valencia","Ath Madrid",1,1,"D"
2020-08-24,"Getafe","Eibar",2,0,"H"
2020-08-24,"Leganes","Sociedad",2,2,"D"
2020-08-25,"Alaves","Betis",0,0,"D"
2020-08-25,"Ath Madrid","Vallecano",1,0,"H"
2020-08-25,"Valladolid","Barcelona",0,0,"A"
2020-08-26,"Espanol","Valencia",2,0,"H"
2020-08-26,"Girona","Real Madrid",1,1,"A"
2020-08-26,"Sevilla","Villarreal",0,0,"D"
2020-08-27,"Ath Bilbao","Huesca",2,0,"D"
2020-08-27,"Levante","Celta",1,2,"A"
2020-08-31,"Eibar","Sociedad",2,1,"H"
2020-08-31,"Getafe","Valladolid",0,0,"D"
2020-08-31,"Villarreal","Girona",0,0,"A"
2020-09-01,"Celta","Ath Madrid",2,0,"H"
2020-09-01,"Real Madrid","Leganes",4,1,"H"
2020-09-02,"Alaves","Espanol",2,1,"H"
2020-09-02,"Barcelona","Huesca",8,2,"H"
2020-09-02,"Betis","Sevilla",1,0,"H"
2020-09-02,"Levante","Valencia",2,1,"D"
2020-09-14,"Huesca","Vallecano",0,1,"A"
