"","date","home.team","home.score","away.team","away.score"
"463",2018-10-20,"Valencia",1,"Leganes",1
"464",2018-10-20,"Villarreal",1,"Ath Madrid",1
"465",2018-10-21,"Betis",0,"Valladolid",1
"466",2018-10-21,"Eibar",1,"Ath Bilbao",1
"467",2018-10-21,"Huesca",0,"Espanol",2
"468",2018-10-21,"Vallecano",1,"Getafe",2
"469",2018-10-22,"Sociedad",0,"Girona",0
"470",2018-10-24,"Vallecano",1,"Ath Bilbao",1
"471",2018-10-26,"Valladolid",1,"Espanol",1
"472",2018-10-27,"Ath Bilbao",0,"Valencia",0
"473",2018-10-27,"Ath Madrid",2,"Sociedad",0
"474",2018-10-27,"Celta",4,"Eibar",0
"475",2018-10-27,"Girona",2,"Vallecano",1
"476",2018-10-27,"Levante",2,"Leganes",0
"477",2018-10-28,"Alaves",2,"Villarreal",1
"478",2018-10-28,"Barcelona",5,"Real Madrid",1
"479",2018-10-28,"Getafe",2,"Betis",0
"480",2018-10-28,"Sevilla",2,"Huesca",1
"481",2018-11-03,"Leganes",1,"Ath Madrid",1
"482",2018-11-03,"Real Madrid",2,"Valladolid",0
"483",2018-11-03,"Valencia",0,"Girona",1
"484",2018-11-03,"Vallecano",2,"Barcelona",3
"485",2018-11-04,"Betis",3,"Celta",3
"486",2018-11-04,"Eibar",2,"Alaves",1
"487",2018-11-04,"Huesca",1,"Getafe",1
"488",2018-11-04,"Sociedad",0,"Sevilla",0
"489",2018-11-04,"Villarreal",1,"Levante",1
"490",2018-11-05,"Espanol",1,"Ath Bilbao",0
"491",2018-11-09,"Levante",1,"Sociedad",3
"492",2018-11-10,"Ath Madrid",3,"Ath Bilbao",2
"493",2018-11-10,"Getafe",0,"Valencia",1
"494",2018-11-10,"Girona",0,"Leganes",0
"495",2018-11-10,"Valladolid",0,"Eibar",0
"496",2018-11-11,"Alaves",2,"Huesca",1
"497",2018-11-11,"Barcelona",3,"Betis",4
"498",2018-11-11,"Celta",2,"Real Madrid",4
"499",2018-11-11,"Sevilla",2,"Espanol",1
"500",2018-11-11,"Vallecano",2,"Villarreal",2
"501",2018-11-23,"Leganes",1,"Alaves",0
"502",2018-11-24,"Ath Madrid",1,"Barcelona",1
"503",2018-11-24,"Eibar",3,"Real Madrid",0
"504",2018-11-24,"Huesca",2,"Levante",2
"505",2018-11-24,"Valencia",3,"Vallecano",0
"506",2018-11-25,"Ath Bilbao",1,"Getafe",1
"507",2018-11-25,"Espanol",1,"Girona",3
"508",2018-11-25,"Sevilla",1,"Valladolid",0
"509",2018-11-25,"Villarreal",2,"Betis",1
"510",2018-11-26,"Sociedad",2,"Celta",1
"511",2018-11-30,"Vallecano",1,"Eibar",0
"512",2018-12-01,"Celta",2,"Huesca",0
"513",2018-12-01,"Getafe",3,"Espanol",0
"514",2018-12-01,"Real Madrid",2,"Valencia",0
"515",2018-12-01,"Valladolid",2,"Leganes",4
"516",2018-12-02,"Alaves",1,"Sevilla",1
"517",2018-12-02,"Barcelona",2,"Villarreal",0
"518",2018-12-02,"Betis",1,"Sociedad",0
"519",2018-12-02,"Girona",1,"Ath Madrid",1
"520",2018-12-03,"Levante",3,"Ath Bilbao",0
"521",2018-12-07,"Leganes",1,"Getafe",1
"522",2018-12-08,"Ath Madrid",3,"Alaves",0
"523",2018-12-08,"Espanol",0,"Barcelona",4
"524",2018-12-08,"Valencia",1,"Sevilla",1
"525",2018-12-08,"Villarreal",2,"Celta",3
